"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-16",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-17",,,"0.03"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-18",,,"0.02"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-19",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-20",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-21",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-22",,,"0.03"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-23",,,"0.18"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-24",,,"0.06"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-25",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-26",,,"0.13"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-27",,,"0.09"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-28",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-29",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-06-30",,,"0.14"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-01",,,"0.35"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-02",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-03",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-04",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-05",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-06",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-07",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-08",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-09",,,"0.02"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-10",,,"0.07"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-11",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-12",,,"0.23"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-13",,,"0.56"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-14",,,"0.33"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-15",,,"0.19"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-16",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-17",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-18",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-19",,,"0.04"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-20",,,"0.13"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-21",,,"0.06"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-22",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-23",,,"0.02"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-24",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-25",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-26",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-27",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-28",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-29",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-07-30",,,"0.00"
